filename,source_image,card_id,variant,is_clean,defect_count,mask_source,mask_filename,blur_present,blur_intensity,skew_present,skew_intensity,rotated_present,rotated_intensity,zoomed_out_present,zoomed_out_intensity,noise_present,noise_intensity,wrong_colors_present,wrong_colors_intensity,parameters_json
images/0001_177510956318849330_jpg_600x600_clean.jpg,177510956318849330.jpg_600x600.webp,177510956318849330.jpg_600x600,clean,1,0,auto,masks/0001_177510956318849330_jpg_600x600_clean.png,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,"{""application_order"":[],""defects"":{}}"
images/0001_177510956318849330_jpg_600x600_single_blur_01.jpg,177510956318849330.jpg_600x600.webp,177510956318849330.jpg_600x600,single,0,1,auto,masks/0001_177510956318849330_jpg_600x600_single_blur_01.png,1,0.733399,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,"{""application_order"":[""blur""],""defects"":{""blur"":{""type"":""defocus"",""kernel_size"":31,""radius"":15}}}"
images/0001_177510956318849330_jpg_600x600_single_blur_02.jpg,177510956318849330.jpg_600x600.webp,177510956318849330.jpg_600x600,single,0,1,auto,masks/0001_177510956318849330_jpg_600x600_single_blur_02.png,1,0.435712,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,"{""application_order"":[""blur""],""defects"":{""blur"":{""type"":""gaussian"",""kernel_size"":29,""sigma"":4.6393}}}"
images/0001_177510956318849330_jpg_600x600_single_skew_01.jpg,177510956318849330.jpg_600x600.webp,177510956318849330.jpg_600x600,single,0,1,auto,masks/0001_177510956318849330_jpg_600x600_single_skew_01.png,0,0.0,1,0.730749,0,0.0,0,0.0,0,0.0,0,0.0,"{""application_order"":[""skew""],""defects"":{""skew"":{""maximum_shift_pixels"":76.1519,""destination_points"":[[56.403,41.531],[554.033,2.42],[7.135,581.282],[553.155,556.26]]}}}"
images/0001_177510956318849330_jpg_600x600_single_skew_02.jpg,177510956318849330.jpg_600x600.webp,177510956318849330.jpg_600x600,single,0,1,auto,masks/0001_177510956318849330_jpg_600x600_single_skew_02.png,0,0.0,1,0.894965,0,0.0,0,0.0,0,0.0,0,0.0,"{""application_order"":[""skew""],""defects"":{""skew"":{""maximum_shift_pixels"":91.9167,""destination_points"":[[50.089,20.262],[544.837,74.4],[0.597,524.932],[534.829,567.725]]}}}"
images/0001_177510956318849330_jpg_600x600_single_rotated_01.jpg,177510956318849330.jpg_600x600.webp,177510956318849330.jpg_600x600,single,0,1,auto,masks/0001_177510956318849330_jpg_600x600_single_rotated_01.png,0,0.0,0,0.0,1,0.139189,0,0.0,0,0.0,0,0.0,"{""application_order"":[""rotated""],""defects"":{""rotated"":{""angle_degrees"":-25.054}}}"
images/0001_177510956318849330_jpg_600x600_single_rotated_02.jpg,177510956318849330.jpg_600x600.webp,177510956318849330.jpg_600x600,single,0,1,auto,masks/0001_177510956318849330_jpg_600x600_single_rotated_02.png,0,0.0,0,0.0,1,0.187201,0,0.0,0,0.0,0,0.0,"{""application_order"":[""rotated""],""defects"":{""rotated"":{""angle_degrees"":33.6962}}}"
images/0001_177510956318849330_jpg_600x600_single_zoomed_out_01.jpg,177510956318849330.jpg_600x600.webp,177510956318849330.jpg_600x600,single,0,1,auto,masks/0001_177510956318849330_jpg_600x600_single_zoomed_out_01.png,0,0.0,0,0.0,0,0.0,1,0.779356,0,0.0,0,0.0,"{""application_order"":[""zoomed_out""],""defects"":{""zoomed_out"":{""scale"":0.4758}}}"
images/0001_177510956318849330_jpg_600x600_single_zoomed_out_02.jpg,177510956318849330.jpg_600x600.webp,177510956318849330.jpg_600x600,single,0,1,auto,masks/0001_177510956318849330_jpg_600x600_single_zoomed_out_02.png,0,0.0,0,0.0,0,0.0,1,0.26892,0,0.0,0,0.0,"{""application_order"":[""zoomed_out""],""defects"":{""zoomed_out"":{""scale"":0.7667}}}"
images/0001_177510956318849330_jpg_600x600_single_noise_01.jpg,177510956318849330.jpg_600x600.webp,177510956318849330.jpg_600x600,single,0,1,auto,masks/0001_177510956318849330_jpg_600x600_single_noise_01.png,0,0.0,0,0.0,0,0.0,0,0.0,1,0.737448,0,0.0,"{""application_order"":[""noise""],""defects"":{""noise"":{""type"":""jpeg"",""quality"":36}}}"
